Liste compléments nutritionnels top 1% ,,,,,
PRODUIT,IMPACT PHYSIOLOGIQUE,SYMPTÔMES & BESOINS CIBLÉS,MARQUE,POSOLOGIE,CONTRES INDICATIONS
Bêta-Alanine Carnosyn® en poudre,Tamponne l'acide lactique pour repousser la brûlure musculaire et l'échec.,Échec rapide sur séries longues • Manque d'endurance musculaire,Nutrimuscle,4 g pré éffort,Picotements (Paresthésie) normaux mais surprenants
Caféine Naturelle en poudre,Bloque les récepteurs de fatigue (Adénosine) pour une vigilance immédiate.,Somnolence • Besoin d'un coup de fouet rapide,Nutrimuscle,100 à 300 mg pré éffort,"Cœur, Anxiété, Sommeil"
PRE-WORKOUT POWER UP ,"Déclenche le mode ""Guerre"" : Focus intense, Vasodilatation et Endurance lactique.",Manque de motivation • Pas de congestion • Fatigue avant sport,Coalition,2 dosettes (20g) 30 min avant sport.,Sensibilité caféine. Picotements intenses
OPC 40 haut de gamme Extrait de pépins de raisin,Resserre les parois veineuses pour empêcher l'eau de fuir dans les tissus.,Jambes lourdes • Cellulite aqueuse • Varicosités,Sunday Naturel,1 gélule matin,Fluidifiants sanguins (effet léger)
Citrate de potassium en gélules,Chasse le sodium (sel) de la cellule pour rétablir l'équilibre hydrique.,Visage bouffi le matin • Mange salé • Rétention d'eau globale,Sunday Naturel,2 gélules soir,Hyperkaliémie. Problèmes cardiaques ou rénaux
Extrait de thé vert EGCG dosage élevé ,Augmente la thermogenèse et l'oxydation des graisses (Métabolisme).,Métabolisme lent • Graisse tenace • Stockage calorique facile,Sunday Naturel,1 gélule matin ou avant Sport,Foie sensible. Ne pas prendre le ventre vide
"Extrait de racine de pissenlit en gélules
",Ouvre les vannes des reins (Diurétique) pour évacuer le volume d'eau excédentaire.,"Gonflement (Œdème) • Aspect ""Flotteux"" • Définition musculaire",Sunday Naturel,1 à 2 gélules matin cure courte (10-15 jours),Obstruction biliaire (calculs)
Complexe Skin Glow ,"Polisse le grain de peau, hydrate en profondeur et illumine le teint (Synergie).",Teint terne/gris • Peau fatiguée • Vieillissement prématuré,Sunday Naturel,3 gélules matin ou midi,Aucune
Ceramide-PCD® Phytoceramides ,Restaure la barrière lipidique (le ciment) pour une peau douce et étanche.,Peau de crocodile • Tiraillements • Peau sèche/atopique,Sunday Naturel,1 capsules matin,Aucune
Acide hyaluronique 250 mg haute qualité ,"Gorge le derme d'eau pour un effet ""repulpant"" mécanique sur les rides.","Rides & Ridules • Perte de volume • Peau ""froissée""",Sunday Naturel,1 gélule matin,Aucune
Astaxanthine 8 mg ,Colore naturellement la peau (Hâle) et protège des UV de l'intérieur.,Teint pâle • Sensibilité au soleil • Taches pigmentaires,Sunday Naturel,1 gélule matin (avec gras),Aucune
Vitamine B12 MH3A® 1000 µg ,Accélère la vitesse de traitement du cerveau et protège la gaine des nerfs (nootropique/overclocking).,Ralentissement mental • Fatigue nerveuse • Régime Végétal,Sunday Naturel,1 comprimé sous la langue ou contre la joue et laisser fondre totalement NE PAS AVALER,Aucune
Extrait d'hydne hérisson bio - Lion's Mane,Stimule le NGF (Facteur de croissance) pour réparer et créer des neurones.,Perte de mémoire • Difficulté d'apprentissage • Brouillard,Sunday Naturel,1 à 2 gélules matin (à jeun),Aucune
L-tyrosine 500 mg ,Recharge la Dopamine (le neurotransmetteur de la motivation et du drive).,"Procrastination • Pas d'envie le matin • Humeur ""Molle""",Sunday Naturel,1 gélules matin (à jeun strict) 30 min avant petit dej et 1 gélule 30 min avant repas midi,Hyperthyroïdie. Mélanome
Ashwagandha bio KSM-66® ,Écrase le Cortisol pour réduire le stress mental et débloquer la Testostérone naturelle.,"Anxiété & Surmenage • Stress qui ""mange"" le muscle • Baisse de désir • Pression mentale",Sunday Naturel,1 à 2 gélules par jour matin/midi,Hyperthyroïdie. Grossesse. Maladies auto-immunes.
Phyto Energy ,"Procure une vigilance ""Laser"" et calme, sans l'énervement du café (Théanine).",Sensible au café • Besoin de focus long • Coup de pompe,Sunday Naturel,1 à 2 gélules matin ou avant sport,Sensibles caféine
