Table de Vérité MorphoPro : Diagnostics et Programmation
;;;;;;
Diagnostic;Observation Visuelle;Impact Biomécanique;Règle de Sélection d'Exercice;Variable d'Ajustement;;
11. Valgus de Coude (Angle de portage $> 15^\circ$);Avant-bras dévié vers l'extérieur en position anatomique.;Alignement impossible sur barre droite. Stress excessif sur le ligament collatéral médial.;Interdire : Barre au front (Skullcrushers) barre droite. Favoriser : Haltères, Poulies, Barre EZ.;Ajuster le plan de mouvement pour que la charge reste dans l'axe fonctionnel de l'avant-bras.;;
12. Rétroversion de l'Acétabulum (Hanche);Blocage sec en flexion de hanche lors du test de squat.;Conflit os-sur-os (col du fémur vs labrum). Risque de pathologie articulaire dégénérative.;Interdire : Squat pieds parallèles et serrés. Favoriser : Sumo Squat, Leg Press écartement large.;Ouvrir l'angle des pieds ($> 30^\circ$) et élargir le stance pour dégager le conflit osseux.;;
13. Ratio Tibia/Fémur Court;Tibia nettement plus court que le fémur.;Nécessité d'une flexion de hanche extrême pour maintenir le CoM. Dominance systématique de la chaîne postérieure.;Interdire : Walking Lunges (fentes marchées). Favoriser : Step-up sur banc haut, Split Squat pied arrière surélevé.;Utiliser des cales de talon massives pour simuler un tibia plus long et permettre la verticalité du tronc.;;
14. Scapula en Protraction (Structurelle);"Omoplates éloignées de la colonne, épaules ""enroulées"".";Réduction de l'espace sous-acromial. Risque de conflit du tendon du sus-épineux.;Interdire : Tirage vertical devant la poitrine (si manque de mobilité). Favoriser : Face-pulls, Rowing assis coudes hauts.;Toujours initier le mouvement par une rétraction scapulaire consciente avant la flexion du coude.;;
15. Epine Iliaque Longue (Levier de hanche);Grande distance entre l'acétabulum et la crête iliaque.;Avantage mécanique massif pour le grand fessier en position étirée.;Interdire : Travail uniquement en isolation (Kickbacks). Favoriser : RDL, Deadlift jambes tendues, Good Morning.;Maximiser l'amplitude de flexion de hanche (étirement) pour exploiter le levier naturel.;;
16. Torsion Tibiale Externe;Pieds naturellement très ouverts ($> 30^\circ$) alors que les patellas pointent devant.;Décalage entre l'axe de flexion de la cheville et l'axe du genou. Stress de rotation sur le ligament collatéral médial.;Interdire : Squat pieds serrés/parallèles. Favoriser : Sumo Press, Bulgarian Split Squat.;Aligner impérativement la pointe de pied avec l'axe de torsion naturelle, pas avec le genou.;;
17. Cyphose Dorsale Rigide;Courbure thoracique fixe, incapacité à redresser le haut du dos.;Réduit drastiquement l'amplitude de flexion de l'épaule (bras au-dessus de la tête). Conflit sous-acromial immédiat.;Interdire : Tirage vertical barre droite, OHP. Favoriser : Tirage neutre, Landmine Press (angle oblique).;Utiliser des angles de banc inclinés à $60-75^\circ$ pour les poussées verticales.;;
18. Ratio Humérus / Avant-bras Court;Humérus court par rapport au radius.;Bras de levier très avantageux pour le développé couché (faible amplitude), mais désastreux pour l'isolation des pectoraux.;Interdire : Bench Press prise serrée (trop de triceps). Favoriser : Chest Press avec prise très large, Flyes avec câbles.;Augmenter le temps sous tension en position étirée pour compenser la faible course mécanique.;;
19. Insertion Triceps Basse (Tendon long);Le ventre musculaire finit haut sur le bras, long tendon visible au-dessus du coude.;Capacité de production de force maximale en position étirée. Vulnérabilité du tendon aux pics de tension brutaux.;"Interdire : Extensions triceps ""lourdes"" derrière la tête. Favoriser : Pushdowns, JM Press.";Privilégier les répétitions moyennes/hautes ($12-15$) pour saturer le muscle sans stresser le tendon.;;
20. Largeur de Bassin (Cristes Iliaques);Distance inter-cristale supérieure à la largeur des épaules (type Gynoïde).;Augmentation de l'angle Q (angle entre le fémur et le tibia). Stress accru de valgus sur le genou.;Interdire : Fentes croisées (Curtsy lunges). Favoriser : Squats à stance modéré, Leg Press unilatérale.;Maintenir une largeur de pieds alignée sur les hanches pour minimiser le vecteur de force latéral sur la patella.;;
21. Antéversion du Col Fémoral;Rotation interne de hanche massive ($> 45^\circ$), externe quasi nulle.;"Le fémur doit ""tourner"" vers l'intérieur pour centrer la tête dans l'acétabulum.";"Proscrire : Sumo Squat. Favoriser : Squat pieds parallèles ou légers ""Toes-in"".";Autoriser une légère rotation interne du genou pour préserver l'intégrité de la hanche.;;
22. Rétroversion du Col Fémoral;"Rotation externe massive ($> 50^\circ$), interne quasi nulle. Pieds ""en canard"" au repos.";La structure osseuse interdit mécaniquement la convergence des genoux.;Proscrire : Hack Squat pieds serrés. Favoriser : Plie Squat, Sumo Deadlift.;Stance large obligatoire. Ne jamais forcer les pieds à pointer devant.;;
23. Ratio Humérus / Avant-bras Long;Humérus long par rapport au radius.;Bras de levier énorme pour le triceps. Difficulté à générer du couple au Bench Press.;Proscrire : Développé couché barre (amplitude limitée). Favoriser : DB Press avec rotation, Extension Triceps.;Augmenter la fréquence sur les pectoraux car le levier limite la charge absolue déplaçable.;;
"24. Scapula ""Winged"" (Décollée)";Bord médial de l'omoplate saillant au repos ou au mouvement.;Instabilité du complexe de l'épaule. Inhibition du grand dentelé.;"Proscrire : Développé militaire lourd. Favoriser : Pompes ""Plus"", Landmine Press.";Intégrer une phase de protraction active en fin de chaque répétition de poussée.;;
25. Insertion Pectorale Haute (Sternale);Muscle attaché haut sur le sternum (vide visible en bas du sternum).;Le bas du pectoral est mécaniquement inexistant. Levier médiocre sur les mouvements de déclinaison.;Proscrire : Dips (focus bas). Favoriser : Incline Press ($30-45^\circ$), Écartés poulie haute.;"Inutile de bombarder le bas ; focus sur la partie claviculaire pour créer l'illusion de volume.";;
"26. Lordose Lombaire ""Flat Back""";Absence de courbure lombaire physiologique (dos plat).;Disques intervertébraux subissent une charge de compression pure sans amorti.;Proscrire : Squat barre basse, Deadlift conventionnel. Favoriser : Belt Squat, Trap Bar Deadlift.;"Maintenir une tension constante ; éviter le verrouillage (lockout) brutal des hanches.";;
27. Largeur de Poignet (Ossature);Circonférence $< 16cm$ (pour un homme).;"Articulations ""fines"" limitant le potentiel de charge maximale (capacité de support tendineuse).";Proscrire : Travail en force pure ($< 5$ reps). Favoriser : Travail métabolique ($12-20$ reps).;Utiliser systématiquement des bandes de poignets pour les exercices de poussée lourds.;;
28. Longueur du Triceps (Chef Long);Muscle descend très bas vers le coude (tendon court).;Levier exceptionnel pour l'extension de l'épaule et du coude. Récupération lente.;Proscrire : Trop de volume sur le dos (le triceps vole le travail). Favoriser : Skullcrushers profonds.;Réduire la fréquence de travail des bras car le chef long est sollicité sur tous les tirages.;;
29. Mobilité de l'Hallux (Gros orteil);Incapacité à lever l'orteil $> 30^\circ$ (Hallux Rigidus).;Altère la chaîne cinétique ascendante lors des fentes ou de la marche.;Proscrire : Fentes marchées, Sprints. Favoriser : Split Squat pied arrière à plat sur box.;Supprimer toute extension forcée du pied arrière sous charge.;;
30. Insertion Ischio-jambier Haute;Muscle s'insérant loin sous le fessier.;Levier médiocre pour l'extension de hanche, mais excellent pour la flexion du genou.;Proscrire : Soulevé de terre jambes tendues. Favoriser : Leg Curl (assis ou allongé).;Prioriser le travail de flexion de genou pour l'hypertrophie des ischios.;;
